"EP Code:n","LOP A/C No:n","A/C Name","Reported BI Name","Reported TO Name","BI/Omni Code","BI Name","Mother BI/Omni Code","BI TO Code","BI TO Name"
"CFB","708420","XXX","XXX","XXX","HED_0067","XXX","OMN_0009","BIT_0155","XXX"
"CFB","70EN1","XXX","XXX","XXX","HED_0645","XXX","","BIT_0180","XXX"
"CFB","73511","XXX","XXX","XXX","INS_0234","XXX","","BIT_0157","XXX"
"CFB","736R2","XXX","XXX","XXX","HED_0097","XXX","OMN_0009","BIT_0451","XXX"
"CFB","736YP","XXX","XXX","XXX","HED_0296","XXX","OMN_0009","BIT_0451","XXX"
"CFB","73711","XXX","XXX","XXX","HED_0122","XXX","OMN_0009","BIT_0218","XXX"
"CFB","7374F","XXX","XXX","XXX","HED_0958","XXX","","BIT_0997","XXX"
"CFB","7375R","XXX","XXX","XXX","HED_0274","XXX","OMN_0009","BIT_0413","XXX"
"CFB","737DX","XXX","XXX","XXX","HED_0182","XXX","OMN_0009","BIT_0309","XXX"
"CFB","738NM","XXX","XXX","XXX","HED_0878","XXX","","BIT_0981","XXX"
"CFB","738V8","XXX","XXX","XXX","HED_0949","XXX","","BIT_0999","XXX"
"CFB","738V9","XXX","XXX","XXX","HED_0950","XXX","","BIT_0999","XXX"
"CFB","73921","XXX","XXX","XXX","HED_0879","XXX","","BIT_0981","XXX"
"CFB","73Y15","XXX","XXX","XXX","INS_1326","XXX","","BIT_0989","XXX"
"CFB","73Y24","XXX","XXX","XXX","HED_0959","XXX","","BIT_0997","XXX"
"CFB","73Y27","XXX","XXX","XXX","HED_0956","XXX","","BIT_0314","XXX"
"CFB","73Y2R","XXX","XXX","XXX","HED_0960","XXX","","BIT_0997","XXX"
"CFB","75228","XXX","XXX","XXX","HED_0088","XXX","","BIT_0176","XXX"
"CFB","75360","XXX","XXX","XXX","INS_0251","XXX","","BIT_0176","XXX"
"CFB","7546D","XXX","XXX","XXX","HED_0952","XXX","","BIT_0799","XXX"
"CFB","75480","XXX","XXX","XXX","HED_0417","XXX","","BIT_0176","XXX"
"CFB","7553H","XXX","XXX","XXX","HED_0945","XXX","","BIT_0998","XXX"
"CFB","7556A","XXX","XXX","XXX","HED_0953","XXX","","BIT_0799","XXX"
"CFB","75727","XXX","XXX","XXX","HED_0309","XXX","","BIT_0176","XXX"
"CFB","75803","XXX","XXX","XXX","HED_0946","XXX","","BIT_0998","XXX"
"CFB","75804","XXX","XXX","XXX","HED_0947","XXX","","BIT_0998","XXX"
"CFB","75909","XXX","XXX","XXX","HED_0948","XXX","","BIT_0998","XXX"
